Rank,Domain,Banning Authority,Locale,Type of site,Subcategory,Date blocked
-1,krymrbglqfmsqvwng.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),6/16/22
-1,krymrciqeocpngsbn.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),6/18/22
-1,krymrkopiqcqsjofj.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),6/14/22
-1,krymrqpbqunfskoow.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),6/15/22
-1,krymruwyjwarfvoia.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),6/20/22
-1,radiosuxmalwdnsdx.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),6/18/22
-1,radioulfsddyhkujp.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),6/14/22
-1,radioverfxmhchkau.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),6/16/22
-1,radioxmbwvvvfjohs.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),6/20/22
-1,semnagtdcfhsejlxv.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),6/20/22
-1,semnaqhpdbdfbhkct.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),6/18/22
-1,severgrjxqoleatlc.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),6/20/22
-1,severjnqmzvpvilkc.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),6/18/22
-1,severmfecgxxyvknu.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),6/15/22
-1,severrkhrkvyenhlu.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),6/16/22
-1,severxfmeppeohqsl.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),6/14/22
-1,sibrebxakpshmluzd.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),6/16/22
-1,sibredtirjiojknfx.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),6/18/22
-1,sibrejakllxodahgo.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),6/20/22
-1,sibrejalvcumwxtgh.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),6/14/22
-1,sibretjfuluwkrajb.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),6/15/22
-1,svoboexfgikwtajkm.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),6/18/22
-1,svobogsdlarzksorv.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),6/15/22
-1,svobojdljerkteahg.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),6/16/22
-1,svobopsqnqrpatzaa.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),6/14/22
-1,svobowfghlrltivjy.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),6/20/22
-1,d1xwexevvngfbl.cloudfront.net,Office of the Prosecutor General,United States,News,Mirror (RL),6/17/22
-1,d2akpapmv4pqnn.cloudfront.net,Office of the Prosecutor General,United States,News,Mirror (RL),6/17/22
-1,d2f63rpky0gus2.cloudfront.net,Office of the Prosecutor General,United States,News,Mirror (RL),6/17/22
-1,d3ig22b5erivm6.cloudfront.net,Office of the Prosecutor General,United States,News,Mirror (RL),6/17/22
-1,d6cudvnlxa8n5.cloudfront.net,Office of the Prosecutor General,United States,News,Mirror (RL),6/19/22
-1,fedrezerv-cbr.org,Office of the Prosecutor General,Russia,Digital Resistance,Counter-propaganda,6/15/22
-1,redsquareprotest.org,Office of the Prosecutor General,Russia,Civil Society,War Crimes,6/20/22
-1,developers.amocrm.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
-1,bbc.global.ssl.fastly.net,Office of the Prosecutor General,United Kingdom,News,Mirror (BBC),6/29/22
-1,lp.nebho.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
-1,deshevshe.promocode.kiev.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
-1,forest.pp.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
-1,forvk.pp.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
-1,biodar.kiev.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
-1,bezhanov.pp.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
-1,buy.all4css.pp.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
-1,dnevnik.teleschool.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
-1,luna.colorservice.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
-1,novotell.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
-1,agentekiotwnntmxe.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),6/27/22
-1,agentihgxfodjwqcs.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),6/23/22
-1,agentjtrcinpkkrrx.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),3/6/22
-1,agentkpygwpafwwix.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),6/28/22
