Rank,Domain,Banning Authority,Locale,Type of site,Subcategory,Date blocked
456548,lemberg-kaviar.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
456686,luganskua.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,3/13/22
456787,fontec.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
456788,liga-t.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
456936,gardaoil.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
456945,dimparts.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
457071,solarfox-energy.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/20/22
457093,school5.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,3/13/22
457145,nordicasterling.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
457169,avtoprokat.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/19/22
457200,berdyansk-rent.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
457241,aviasales.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/20/22
457267,philipiakmilano.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
457286,air-up.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
457482,z-faberlic.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/20/22
457739,prostozags.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/19/22
457944,pp-tdk.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
458137,gerus.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
458184,ecutools.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,5/27/22
458371,nocodeflow.net,Office of the Prosecutor General,Germany,Digital Resistance,Coding,4/20/22
458595,miltec-market.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/20/22
458684,vip-beton.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/20/22
458805,goaclub.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
459440,lemanauto.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
460622,autel-ukraine.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,3/27/22
460884,russkiykorabl.info,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,4/19/22
464132,ria-news.uno,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,4/27/22
468006,inferno.army,Office of the Prosecutor General,Ukraine,Digital Resistance,Appeals,2/6/22
475991,chronic.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,5/14/22
476783,manifest.in.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Ukraine Support Content,3/5/22
477289,in-focus.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/20/22
478053,find-soldier.xyz,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,3/3/22
480811,stopwarukraine.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,2/27/22
485176,crimeanbridgedown.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,5/6/22
485872,agro-russia.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,7/13/22
494079,warlive.live,Office of the Prosecutor General,Russia,Digital Resistance,Counter-propaganda,3/11/22
496220,lucky-store.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,3/27/22
502325,karta-mira.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,3/28/22
502822,helikon-market.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/20/22
510777,rtproc.ru,Office of the Prosecutor General,Russia,Digital Resistance,Counter-propaganda,5/8/22
515394,neveragain.media,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,3/31/22
517110,bakertilly.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Ukraine Support Content,4/22/22
517876,huilo.net,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,3/31/22
519586,ddos-separ.ml,Office of the Prosecutor General,Moldova,Digital Resistance,Hacking,11/6/22
522610,ua-war-2022.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,10/6/22
523333,rkprok.ru,Office of the Prosecutor General,Russia,Digital Resistance,Counter-propaganda,5/8/22
525259,esvip.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
532015,bolshoyforum.com,Office of the Prosecutor General,Russia,Digital Resistance,Critical content,4/20/22
533883,ukrainianarmyhelp.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Fundraising,3/21/22
534886,proktmo.ru,Office of the Prosecutor General,Russia,Digital Resistance,Counter-propaganda,5/8/22
535243,stop-war.today,Office of the Prosecutor General,Unknown,Digital Resistance,Counter-propaganda,3/13/22
536036,peoplesproject.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Fundraising,7/27/22
542632,ria-news.today,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,5/24/22
544950,domaktera55.ru,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
545267,gbcdata.net,Office of the Prosecutor General,United Kingdom,Digital Resistance,Research,2/4/22
546189,infowarship.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,3/5/22
549198,dezega.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Ukraine Support Content,4/24/22
549518,stopputin.today,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,5/26/22
552293,mamayahochudomoy.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,3/3/22
552495,besafeua.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,5/27/22
554019,putina.net,Office of the Prosecutor General,Ukraine,Digital Resistance,Fundraising,3/31/22
554825,stop-the-war-now.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,10/4/22
555603,rettar.net,Office of the Prosecutor General,Ukraine,Digital Resistance,Blog,7/4/22
558510,remap-ru.com,Office of the Prosecutor General,Russia,Digital Resistance,Counter-propaganda,5/31/22
560471,redirected-to.com,Office of the Prosecutor General,Russia,Digital Resistance,Counter-propaganda,5/26/22
561084,pasp.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
562059,defenceua.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,9/4/22
564997,pogibshievukraine.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,5/24/22
566642,rsukraine.org,Office of the Prosecutor General,Ukraine,Digital Resistance,Fundraising,4/20/22
568547,gen-prok.ru,Office of the Prosecutor General,Russia,Digital Resistance,Counter-propaganda,9/6/22
570747,anti-popsa.com,Office of the Prosecutor General,Russia,Digital Resistance,Counter-propaganda,5/6/22
572513,nowar1.com,Office of the Prosecutor General,Russia,Digital Resistance,Counter-propaganda,5/6/22
574463,loginvovchyk.net,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,5/27/22
577955,no-war3.com,Office of the Prosecutor General,Russia,Digital Resistance,Counter-propaganda,5/22/22
579189,etojob.ru,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
581149,war2022.xyz,Office of the Prosecutor General,Russia,Digital Resistance,Counter-propaganda,6/16/22
583242,nowarlll.com,Office of the Prosecutor General,Russia,Digital Resistance,Counter-propaganda,12/5/22
595779,scienceofdrink.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Critical Content,7/5/22
597269,paramotokite.ru,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
599376,dronesforukraine.fund,Office of the Prosecutor General,Ukraine,Digital Resistance,Fundraising,7/13/22
